Cat,key,UI Title,#,High Label,Low Label,Description,Existing Scale Source,Explanation,Result Text Hi,Result Text Med,Result Text Lo
A,accommodating,Conflict,1,Agreeable,Challenging,High scorers avoid conflict and look for common ground. Low scorers enjoy challenging opinions through argument.,TF-3,Your Conflict score shows your approach when you disagree with someone else or have needs that conflict with those of another person.,"As a more agreeable person, you avoid conflict and look for common ground with others. You can often see the value in any opinion.","Your conflict style is a moderate one. You don’t like arguing for the sake of it, but you’ll stand up for yourself when you feel strongly.","As a more challenging person, you enjoy debating opinions and don’t shy away from conflict. You may enjoy playing devil’s advocate."
A,compassionate,Empathy,2,Compassionate,Tough,High scorers feel for people in pain. Low scorers are not easily moved by the emotions or circumstances of others.,"TF-2, BF-A-6",Your Empathy score shows the degree to which you identify with and experience the emotions of other people.,"As a more compassionate person, you feel for others when you sense they are suffering or in pain. You often feel personally affected by the problems of others.","You’re similar to the average person in your level of empathy and compassion. You have sympathy for people who are experiencing hardship, but you don’t tend to be overcome by these feelings and can distance yourself when you need to.","As a Tough person, you don’t easily experience feelings of empathy for people who are suffering. You tend to keep a sense of cool detachment."
A,eager,Likability,3,Eager,Cool,High scorers want to be liked by others and work hard to please. Low scorers are less concerned with being likeable.,TF-5,"Your Likability score indicates the extent to which you put effort into getting others to like you. While the best relationships will be with people who love you for you are, this score shows how much you work at being a likable person.","As a person who is more eager, it is important to you to be liked by others and you spend a good amount of time and energy creating positive connections with others and ensuring you make a positive impression.","As a person who scores moderately on this trait, you probably feel more comfortable when people like and appreciate you, but don’t bend over backwards to please. You want to be liked for who you are, not what you do for people.","As a person with a more cool approach, you don’t think much about whether other people like you and tend to be yourself, whether others appreciate it or not. While you still value your genuine connections, it doesn’t bother you if some relationships just don’t come together."
A,modest,Self Concept,4,Modest,Superior,High scorers feel that they are no better than anyone else. Low scorers feel that they are superior and deserve better treatment.,"EG-e, BF-A-5",Your Self Concept score shows how you compare yourself with other people.,"As a more superior person, you believe you possess qualities that the average person does not. You have a sense of being special or important, and expect yourself to stand out in life. You are especially aware of your strengths and how they set you apart from others.","As someone who is moderate on this trait, you are generally a humble and modest person, but you also have a good sense of your strengths and how you can distinguish yourself from the average person. While you don’t consider yourself superior, you do know how to stand out when you want to.","As a more modest person, you have a strong sense of being no better than anyone else. You don’t expect to stand out or be treated differently than other people, and present a humble and unassuming attitude towards others."
A,altruistic,Concern,5,Altruistic,Self serving,"High scorers feel compelled to help out others, especially the less fortunate. Low scorers focus on their own needs.","TF-4, BF-A-3",,,,
A,trusting,Trust,6,Trusting,Suspicious,High scorers believe people are basically good and trustworthy. Low scorers believe that people will take advantage if given the chance.,"~TF- 6, BF-A-1",,,,
A,honest,Honesty,7,Candid,Cagey,High scorers are generally straightforward and see little reason to lie. Low scorers are more calculating about what they disclose.,BF-A-2,,,,
A,cooperative,Teamwork,8,Cooperative,Competitive,High scorers want to work in concert with others. Low scorers are more motivated by the chance to prevail over others.,?,,,,
C,ambitious,Ambition,1,Ambitious,Casual,High scorers have lofty goals and plans. Low scorers are content with basic needs met.,"JP-5, BF-C-4",Your Ambition score shows the extent to which you set goals for your personal achievement.,"As a more ambitious person, you have big goals and want to achieve a lot in life. You may think a lot about being successful and what that looks like to you.","As a moderately ambitious person, you have dreams and put effort into achieving them—but you also make time to enjoy life.","As a less ambitious and more casual person, you focus more on enjoying life rather than striving towards achievements. To you, it’s more important to be relaxed and content than to rack up accomplishments."
C,planned,Planning,2,Planned,Spontaneous,High scoreres like to plan in advance and stick to their schedules. Low scorers like to do what they want in the moment.,JP-2,Your Planning score indicates the extent to which you like to plan your activities ahead of time and avoid deviations from your schedule.,"As a person who tends to be more planned than spontaneous, you like to make your plans and arrangements in advance and stick to your schedule.","As a moderately Planned person, you tend to like to know what you’ll be doing in advance, but don’t mind being flexible as well.","As a Spontaneous person, you resist planning things in advance and dislike having to stick to a schedule."
